No;City;Total;Died;Lost ;Injured;Suffering;Evacuate;House;School;Medical_Facility;Religious_Place;Public_Facility;Office;Bridge;Factory;Store;Year;Type;Disaster
71; Kota Ambon;1;;;;;;;;;;;;;;;2021;108;Earthquake
2; Halmahera Tengah;2;;;;;;;1;1;3;;;;;;2019;101;Flood
5; Halmahera Utara;2;;;;;;;4;1;2;;;;;;2019;101;Flood
7; Pulau Morotai;2;;;;;355;;;;;;;4;;;2019;101;Flood
8; Pulau Taliabu;5;;;;390;14;2;;;;;;2;;;2019;101;Flood
7; Pulau Morotai;2;2;;;;;;;;;;;;;;2019;102;Land_Slide
2; Halmahera Tengah;1;;;;;;;;;;;;;;;2019;107;Forest Fire
3; Kepulauan Sula;1;;;;;;;;;;;;;;;2019;107;Forest Fire
4; Halmahera Selatan;2;14;;121;;44453;2900;181;22;30;;24;7;;;2019;108;Earthquake
7; Pulau Morotai;1;;;;;748;44;;;2;;;;;;2019;108;Earthquake
71; Kota Ternate;1;;;2;;;39;2;1;3;;1;;;;2019;108;Earthquake
2; Halmahera Tengah;2;;;;;2432;50;;;;;;;;;2020;101;Flood
3; Kepulauan Sula;4;;;;;1949;119;;;;;;;;;2020;101;Flood
5; Halmahera Utara;6;;;;425;3072;4;;;;;;4;;;2020;101;Flood
7; Pulau Morotai;2;;;;;3335;;;;;;;1;;;2020;101;Flood
8; Pulau Taliabu;2;;;;;1650;;;;;;;5;;;2020;101;Flood
8; Pulau Taliabu;1;;;;;1459;1;;;;;;4;;;2020;103;Flood and Land Slide
7; Pulau Morotai;1;;;;;180;;;;;;;;;;2020;104;Abration
1; Halmahera Barat;1;;;;;;;;;;;;;;;2020;108;Earthquake
5; Halmahera Utara;1;;;;;;;;;;;;;;;2020;108;Earthquake
7; Pulau Morotai;1;;;;715;;312;;;;;;;;;2020;108;Earthquake
71; Kota Ternate;1;;;;;;;;;;;;;;;2020;108;Earthquake
1; Halmahera Barat;1;;;;100;;20;;;;;;;;;2021;101;Flood
2; Halmahera Tengah;1;;;;396;;;;;;;;;;;2021;101;Flood
3; Kepulauan Sula;1;;;;150;;2;;;;;;;;;2021;101;Flood
5; Halmahera Utara;2;;;;4285;1801;5;;;;;;1;;;2021;101;Flood
6; Halmahera Timur;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;Flood
7; Pulau Morotai;1;;;;1061;;;;;;;;;;;2021;101;Flood
1; Halmahera Barat;1;;;;2645;;49;;;;;;;;;2021;103;Flood and Land Slide
5; Halmahera Utara;1;;;;1235;;31;;;;;;;;;2021;104;Abration
7; Pulau Morotai;2;;;;160;;28;;;;;;;;;2021;104;Abration
3; Kepulauan Sula;1;;;;;;11;;;;;;;;;2021;105;Tornado
5; Halmahera Utara;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;105;Tornado
71; Kota Ternate;1;;;;35;;7;;;;;;;;;2021;105;Tornado
4; Halmahera Selatan;1;;;10;;169;890;3;2;6;;3;1;;;2021;108;Earthquake
3; Teluk Wondama;2;;;;4159;50;;;;;;2;2;;7;2019;101;Flood
4; Teluk Bintuni;2;;;;575;;;;;;;;;;;2019;101;Flood
