No;City;Total;Died;Lost ;Injured;Suffering;Evacuate;House;School;Medical_Facility;Religious_Place;Public_Facility;Office;Bridge;Factory;Store;Year;Type;Disaster
13; Gayo Lues;1;;;;38;;;;;;;;;;;2021;103;Flood and Land Slide
14; Aceh Tamiang;1;;;;100;;1;;;;;;;;;2021;103;Flood and Land Slide
1; Simeulue;1;0;0;0;15;0;3;0;0;0;0;0;0;0;0;2021;105;Tornado
2; Aceh Singkil;1;;;;3;;;;;;;;;;;2021;105;Tornado
5; Aceh Timur;5;;;;140;5;30;;;;;;;;2;2021;105;Tornado
6; Aceh Tengah;2;;;;5;;131;;;;;;;;;2021;105;Tornado
7; Aceh Barat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;105;Tornado
8; Aceh Besar;1;;;;6;;1;;;;;;;;;2021;105;Tornado
9; Pidie;1;;;;40;;10;;;;;;;;;2021;105;Tornado
10; Bireuen;3;;;;21;4;5;;;;;;;;;2021;105;Tornado
11; Aceh Utara;4;;;;14;;5;;;;;;;;4;2021;105;Tornado
12; Aceh Barat Daya;2;;;;47;;11;;;;;;;;;2021;105;Tornado
13; Gayo Lues;2;;;;20;;;;;;;;;;;2021;105;Tornado
14; Aceh Tamiang;1;;;;10;;2;;;;;;;;;2021;105;Tornado
16; Aceh Jaya;1;;;;5;;1;;;;;;;;;2021;105;Tornado
17; Bener Meriah;2;;;;10;5;7;;;;;;;;;2021;105;Tornado
72; Kota Sabang;1;;;;5;;1;;;;;;;;;2021;105;Tornado
75; Kota Subulussalam;1;;;;;;9;;;;;;;;;2021;105;Tornado
2; Aceh Singkil;1;;;;;;;;;;;;;;;2021;107;Forest Fire
3; Aceh Selatan;3;;;;;;;;;;;;;;;2021;107;Forest Fire
6; Aceh Tengah;3;;;;;;;;;;;;;;;2021;107;Forest Fire
7; Aceh Barat;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
8; Aceh Besar;3;;;;;;;;;;;;;;;2021;107;Forest Fire
12; Aceh Barat Daya;5;;;;;;;;;;;;;;;2021;107;Forest Fire
13; Gayo Lues;3;;;;;;;;;;;;;;;2021;107;Forest Fire
14; Aceh Tamiang;1;;;;;;;;;;;;;;;2021;107;Forest Fire
15; Nagan Raya;1;;;;;;;;;;;;;;;2021;107;Forest Fire
16; Aceh Jaya;2;;;;;;;;;;;;;;;2021;107;Forest Fire
17; Bener Meriah;7;;;;;;;;;;;;;;;2021;107;Forest Fire
74; Kota Lhokseumawe;3;;;;;;;;;;;;;;;2021;107;Forest Fire
71; Kota Banda Aceh;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
71; Kota Banda Aceh;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;105;Tornado
3; Aceh Selatan;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
1; Nias;1;;;;;;;;;;;;1;;;2019;101;Flood
2; Mandailing Natal;1;;;;300;;;10;1;2;;;;;2;2019;101;Flood
3; Tapanuli Selatan;1;;;;;;;;;;;;1;;;2019;101;Flood
7; Labuhan Batu;1;;;;125;;;;;;;;;;;2019;101;Flood
8; Asahan;6;;;;2510;;;1;;2;;;1;;1;2019;101;Flood
12; Deli Serdang;1;;;;;;1;;;;;;1;;;2019;101;Flood
13; Langkat;2;;;;500;;;;;;;;;;;2019;101;Flood
17; Samosir;2;1;;1;;40;8;;;;;;3;;;2019;101;Flood
19; Batu Bara;1;;;;;;;;;;;;;;;2019;101;Flood
23; Labuhan Batu Utara;1;3;2;;616;128;55;;;;;;6;;;2019;101;Flood
75; Kota Medan;4;;;;14573;270;;;;;;;;;;2019;101;Flood
77; Kota Padangsidimpuan;1;;;;;;8;;;;;;;;;2019;101;Flood
5; Tapanuli Utara;1;;;;;;;;;;;;;;;2019;102;Land_Slide
10; Dairi;5;;;;15;;4;;;;;;2;;;2019;102;Land_Slide
12; Deli Serdang;1;;;;;;3;;;;;;;;;2019;102;Land_Slide
13; Langkat;1;3;;;;;;;;;;;;;;2019;102;Land_Slide
71; Kota Sibolga;1;;;;;;2;;;;;;;;;2019;102;Land_Slide
2; Mandailing Natal;1;;;;;;13;;;;;;;;;2019;105;Tornado
3; Tapanuli Selatan;1;;;;;;2;;;;;;;;;2019;105;Tornado
5; Tapanuli Utara;1;;;;;;2;;;;;;;;;2019;105;Tornado
7; Labuhan Batu;1;;;;25;25;10;;;;;;;;;2019;105;Tornado
8; Asahan;6;;;2;;;46;;1;2;;4;;;3;2019;105;Tornado
10; Dairi;4;;;;31;;57;;;;;;;;;2019;105;Tornado
11; Karo;1;;;2;;;32;;;;;;;;;2019;105;Tornado
12; Deli Serdang;3;;;;;;56;;;;;;;;;2019;105;Tornado
13; Langkat;7;;;1;20;;34;;;;;;;;;2019;105;Tornado
18; Serdang Bedagai;1;;;;55;;11;;;1;;;;;;2019;105;Tornado
19; Batu Bara;1;;;;;;18;;;;;;;;;2019;105;Tornado
20; Padang Lawas Utara;1;;;;;;67;;;;;;;;;2019;105;Tornado
22; Labuhan Batu Selatan;1;;;;;;12;;;;;;;;;2019;105;Tornado
75; Kota Medan;2;;;;28;;8;;;1;;;;;;2019;105;Tornado
76; Kota Binjai;1;;;;;;3;;;;;;;;;2019;105;Tornado
8; Asahan;2;;;;;;;;;;;;;;;2019;107;Forest Fire
10; Dairi;5;;;;;;;;;;;;;;;2019;107;Forest Fire
11; Karo;1;;;;;7256;;;;;;;;;;2019;111;Volcano Eruption
2; Mandailing Natal;4;;;;490;;5;1;;1;;1;5;;;2020;101;Flood
3; Tapanuli Selatan;1;;;;710;;;;;;;;1;;;2020;101;Flood
7; Labuhan Batu;1;;;;4500;;;;;;;;;;;2020;101;Flood
8; Asahan;8;;;;19100;;;2;;3;;;;;;2020;101;Flood
11; Karo;1;;;;285;;57;;;;;;;;;2020;101;Flood
12; Deli Serdang;7;6;3;9;400;1010;218;;;;;;;;;2020;101;Flood
13; Langkat;6;;;;24200;;;1;;;;;5;;46;2020;101;Flood
14; Nias Selatan;1;;;;710;;;;;;;;;;;2020;101;Flood
18; Serdang Bedagai;6;;;;48597;1100;;;;;;;2;;;2020;101;Flood
19; Batu Bara;13;;;;17630;65;;;;;;;;;;2020;101;Flood
23; Labuhan Batu Utara;10;;;;5925;;83;8;1;7;;;;;;2020;101;Flood
24; Nias Utara;2;;;;;;;;;;;;;;;2020;101;Flood
25; Nias Barat;1;;;;;40;7;;;;;;;;;2020;101;Flood
72; Kota Tanjung Balai;1;;;;56083;;;;;;;;;;;2020;101;Flood
73; Kota Pematang Siantar;1;1;;;;;;;;;;;;;;2020;101;Flood
74; Kota Tebing Tinggi;3;;;;41343;550;1;1;;;;;;;;2020;101;Flood
75; Kota Medan;5;6;1;;116939;8945;;;;;;;;;;2020;101;Flood
76; Kota Binjai;2;;;;4235;10982;;5;;;;;;;;2020;101;Flood
77; Kota Padangsidimpuan;3;;;;303;;9;;;;;;;;;2020;101;Flood
2; Mandailing Natal;1;;;;;;1;;;;;;;;;2020;102;Land_Slide
5; Tapanuli Utara;1;1;;1;;;;;;;;;;;;2020;102;Land_Slide
9; Simalungun;2;;;1;215;125;78;;;1;;;;;;2020;102;Land_Slide
10; Dairi;1;;;;;;;;;1;;;;;;2020;102;Land_Slide
12; Deli Serdang;3;1;;5;;9;5;;;;;;;;;2020;102;Land_Slide
13; Langkat;1;;;;1555;;;;;;;;;;;2020;102;Land_Slide
20; Padang Lawas Utara;1;;;;;;;;;;;;1;;;2020;102;Land_Slide
71; Kota Sibolga;1;2;;1;;;;;;;;;;;;2020;102;Land_Slide
4; Tapanuli Tengah;1;9;;22;;3500;97;;;;;;;;;2020;103;Flood and Land Slide
13; Langkat;1;;;;3815;;;;;;;;;;;2020;103;Flood and Land Slide
2; Mandailing Natal;1;;;;10;;2;;;;;;;;;2020;104;Abration
2; Mandailing Natal;1;;;;;;2;;;;;;;;;2020;105;Tornado
4; Tapanuli Tengah;1;;;;;;194;;;;;;;;;2020;105;Tornado
5; Tapanuli Utara;1;;;;;;3;;;;;;;;;2020;105;Tornado
6; Toba Samosir;2;1;;;;;201;;;;;;;;;2020;105;Tornado
9; Simalungun;1;;;;;;19;;;;;;;;;2020;105;Tornado
10; Dairi;3;;;;1;;10;;;;;;;;;2020;105;Tornado
11; Karo;1;;;5;;;;;;;;;;;;2020;105;Tornado
12; Deli Serdang;5;;;3;;90;602;;;;;;;;;2020;105;Tornado
13; Langkat;2;;;5;1575;145;344;1;;2;;;1;;;2020;105;Tornado
15; Humbang Hasundutan;1;;;;;;3;;;;;;;;;2020;105;Tornado
18; Serdang Bedagai;6;;;4;10;;815;;;;;;;;;2020;105;Tornado
19; Batu Bara;3;;;;28;;45;;;1;;;;;;2020;105;Tornado
23; Labuhan Batu Utara;2;;;;;;2;;;;;;;;;2020;105;Tornado
24; Nias Utara;1;;;;;;3;;;;;;;;;2020;105;Tornado
73; Kota Pematang Siantar;1;;;;;;6;;;;;;;;;2020;105;Tornado
75; Kota Medan;8;;;3;;;338;;;1;;;;;;2020;105;Tornado
78; Kota Gunungsitoli;1;;;;;;62;;;;;;;;;2020;105;Tornado
2; Mandailing Natal;1;;;;;;;;;;;;;;;2020;107;Forest Fire
3; Tapanuli Selatan;2;;;;;;;;;;;;;;;2020;107;Forest Fire
4; Tapanuli Tengah;1;;;;;;;;;;;;;;;2020;107;Forest Fire
6; Toba Samosir;1;;;;;;;;;;;;;;;2020;107;Forest Fire
7; Labuhan Batu;3;;;;;;;;;;;;;;;2020;107;Forest Fire
10; Dairi;4;;;;;;;;;;;;;;;2020;107;Forest Fire
17; Samosir;1;;;;;;;;;;;;;;;2020;107;Forest Fire
20; Padang Lawas Utara;1;;;;;;;;;;;;;;;2020;107;Forest Fire
23; Labuhan Batu Utara;1;;;;;;;;;;;;;;;2020;107;Forest Fire
24; Nias Utara;1;;;;;;;;;;;;;;;2020;107;Forest Fire
75; Kota Medan;1;;;;;;;;;;;;;;;2020;107;Forest Fire
3; Tapanuli Selatan;1;;;;;;4;1;;2;;;;;;2020;108;Earthquake
11; Karo;2;;;;;;;;;;;;;;;2020;111;Volcano Eruption
1; Nias;3;0;0;0;0;35;669;0;0;0;0;0;0;0;0;2021;101;Flood
2; Mandailing Natal;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2021;101;Flood
3; Tapanuli Selatan;2;0;0;0;40;0;40;2;0;0;0;0;1;0;0;2021;101;Flood
5; Tapanuli Utara;5;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2021;101;Flood
6; Toba Samosir;1;0;0;0;0;0;79;0;0;0;1;0;0;0;0;2021;101;Flood
7; Labuhan Batu;1;0;0;0;400;0;400;0;0;0;0;0;0;0;0;2021;101;Flood
8; Asahan;5;0;0;11;13300;805;3681;1;1;0;4;3;0;0;0;2021;101;Flood
13; Langkat;4;0;0;0;0;0;1148;0;0;0;0;0;0;0;0;2021;101;Flood
14; Nias Selatan;3;0;0;0;25;0;11;1;0;0;0;0;0;0;0;2021;101;Flood
18; Serdang Bedagai;2;0;0;0;0;0;1053;0;0;0;0;0;0;0;0;2021;101;Flood
19; Batu Bara;4;0;0;0;25725;0;2;0;0;0;0;0;0;0;0;2021;101;Flood
21; Padang Lawas;3;1;0;0;1140;125;46;1;0;0;0;0;3;0;0;2021;101;Flood
22; Labuhan Batu Selatan;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;101;Flood
23; Labuhan Batu Utara;9;0;0;0;40;0;113;0;0;0;0;0;0;0;0;2021;101;Flood
24; Nias Utara;1;0;0;0;6000;0;0;6;1;2;0;0;1;0;0;2021;101;Flood
71; Kota Sibolga;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;Flood
72; Kota Tanjung Balai;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;Flood
74; Kota Tebing Tinggi;4;0;0;0;536;0;2156;0;0;0;0;0;0;0;0;2021;101;Flood
75; Kota Medan;5;0;0;0;54816;0;0;0;0;0;0;0;0;0;0;2021;101;Flood
77; Kota Padangsidimpuan;3;0;0;0;407;50;4;0;0;0;1;0;0;0;0;2021;101;Flood
78; Kota Gunungsitoli;3;0;0;0;350;0;728;0;0;0;2;0;0;0;0;2021;101;Flood
1; Nias;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;Land_Slide
2; Mandailing Natal;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;Land_Slide
3; Tapanuli Selatan;3;5;8;0;0;0;2;0;0;0;0;0;0;0;0;2021;102;Land_Slide
4; Tapanuli Tengah;3;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2021;102;Land_Slide
5; Tapanuli Utara;33;0;0;0;0;0;0;0;1;0;0;0;4;2;0;2021;102;Land_Slide
9; Simalungun;2;3;0;0;0;0;12;0;0;1;0;0;0;0;0;2021;102;Land_Slide
11; Karo;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;2021;102;Land_Slide
12; Deli Serdang;2;3;0;2;0;0;0;0;0;0;0;0;0;0;0;2021;102;Land_Slide
13; Langkat;2;0;0;0;0;0;78;0;0;0;0;0;0;0;0;2021;102;Land_Slide
14; Nias Selatan;11;0;0;0;0;0;11;0;1;0;0;0;0;0;0;2021;102;Land_Slide
16; Pakpak Bharat;1;0;0;0;0;14;2;0;0;0;0;0;0;0;0;2021;102;Land_Slide
20; Padang Lawas Utara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;Land_Slide
24; Nias Utara;1;0;0;0;0;0;13;0;0;0;0;0;0;0;0;2021;102;Land_Slide
71; Kota Sibolga;8;0;0;0;16;0;6;0;0;0;0;0;0;0;0;2021;102;Land_Slide
77; Kota Padangsidimpuan;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;102;Land_Slide
77; Kota Padangsidimpuan;1;;;;270;;1;;;;;;;;;2021;103;Flood and Land Slide
14; Nias Selatan;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;104;Abration
2; Mandailing Natal;2;;;;135;1;27;;;;;;;;;2021;105;Tornado
4; Tapanuli Tengah;3;0;0;0;108;0;38;0;0;1;0;0;0;0;0;2021;105;Tornado
5; Tapanuli Utara;4;0;0;0;0;0;43;0;1;0;0;0;0;0;0;2021;105;Tornado
8; Asahan;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2021;105;Tornado
10; Dairi;3;0;0;0;24;0;9;0;0;0;0;0;0;0;0;2021;105;Tornado
12; Deli Serdang;10;1;0;8;2343;0;540;0;0;1;0;0;0;0;0;2021;105;Tornado
13; Langkat;9;0;0;0;830;0;319;0;0;0;0;0;0;0;0;2021;105;Tornado
14; Nias Selatan;4;0;0;0;0;0;8;0;0;0;0;0;0;0;0;2021;105;Tornado
15; Humbang Hasundutan;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;105;Tornado
16; Pakpak Bharat;3;0;0;0;138;0;44;0;0;0;0;0;0;0;0;2021;105;Tornado
18; Serdang Bedagai;2;;;;850;;117;;;;;;;;;2021;105;Tornado
19; Batu Bara;7;0;0;0;342;0;27;0;0;0;0;0;0;0;0;2021;105;Tornado
23; Labuhan Batu Utara;1;0;0;0;20;0;4;0;0;0;0;0;0;0;0;2021;105;Tornado
72; Kota Tanjung Balai;1;;;;40;;6;;;;;;;;;2021;105;Tornado
75; Kota Medan;2;0;0;0;0;0;2;0;0;0;3;0;0;0;0;2021;105;Tornado
76; Kota Binjai;2;0;0;0;70;0;15;0;0;0;0;0;0;0;0;2021;105;Tornado
78; Kota Gunungsitoli;2;0;0;0;0;0;45;1;0;1;0;3;0;0;0;2021;105;Tornado
2; Mandailing Natal;2;1;;;;;;;;;;;;;;2021;107;Forest Fire
3; Tapanuli Selatan;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
5; Tapanuli Utara;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
6; Toba Samosir;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
7; Labuhan Batu;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
9; Simalungun;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
10; Dairi;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
11; Karo;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
20; Padang Lawas Utara;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
21; Padang Lawas;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
71; Kota Sibolga;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
11; Karo;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;111;Volcano Eruption
1; Nias;2;0;0;0;1190;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
2; Mandailing Natal;1;0;0;0;220;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
3; Tapanuli Selatan;1;0;0;0;702;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
6; Toba Samosir;1;0;0;0;14;0;4;0;0;0;0;0;0;0;0;2022;101;Flood
8; Asahan;1;0;0;0;5131;20;0;3;0;0;0;0;0;0;0;2022;101;Flood
13; Langkat;1;0;0;0;152;15;0;0;0;0;0;0;0;0;0;2022;101;Flood
19; Batu Bara;1;0;0;0;120;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
71; Kota Sibolga;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
74; Kota Tebing Tinggi;1;0;0;0;0;0;781;0;0;0;0;0;0;0;0;2022;101;Flood
76; Kota Binjai;1;0;0;0;924;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
3; Tapanuli Selatan;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
10; Dairi;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
16; Pakpak Bharat;4;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2022;102;Land_Slide
71; Kota Sibolga;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
78; Kota Gunungsitoli;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
75; Kota Medan;2;0;0;0;90144;0;0;0;0;0;0;0;0;0;0;2022;104;Abration
5; Tapanuli Utara;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2022;105;Tornado
7; Labuhan Batu;1;0;0;0;10;0;2;0;0;0;0;0;0;0;0;2022;105;Tornado
13; Langkat;2;0;0;0;360;0;82;0;0;0;0;0;0;0;0;2022;105;Tornado
19; Batu Bara;3;0;0;0;20;0;6;0;0;0;0;0;0;0;0;2022;105;Tornado
21; Padang Lawas;1;0;0;0;20;0;4;0;0;0;0;0;0;0;0;2022;105;Tornado
75; Kota Medan;3;0;0;0;0;0;70;0;0;0;0;0;0;0;0;2022;105;Tornado
76; Kota Binjai;3;0;0;0;3242;0;633;0;0;0;8;0;0;0;0;2022;105;Tornado
3; Tapanuli Selatan;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
4; Tapanuli Tengah;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
5; Tapanuli Utara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
6; Toba Samosir;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
7; Labuhan Batu;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
11; Karo;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
12; Deli Serdang;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
13; Langkat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
21; Padang Lawas;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
22; Labuhan Batu Selatan;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
71; Kota Sibolga;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
5; Tapanuli Utara;1;0;0;0;0;0;1323;33;17;71;0;25;9;0;0;2022;108;Earthquake
2; Pesisir Selatan;1;;;;210;500;;;;;;;;;;2019;101;Flood
6; Padang Pariaman;3;3;;2;;;6;;;1;;;6;;450;2019;101;Flood
7; Agam;3;;;1;18;59;14;1;;1;;;;;;2019;101;Flood
8; Lima Puluh Kota;6;;2;1;6974;628;64;1;;;;;5;;;2019;101;Flood
9; Pasaman;2;;;;;200;1;;;1;;;1;;1;2019;101;Flood
10; Solok Selatan;5;1;;;17344;996;118;7;1;5;;2;13;;;2019;101;Flood
11; Dharmasraya;2;;1;;300;;;;;;;;;;;2019;101;Flood
12; Pasaman Barat;2;1;;;;;2;;;;;;2;;;2019;101;Flood
73; Kota Sawah Lunto;2;1;;;5;;;;;;;;;;;2019;101;Flood
75; Kota Bukittinggi;2;;;2;545;;;;;;;;;;;2019;101;Flood
76; Kota Payakumbuh;1;;;;;;;;;;;;;;;2019;101;Flood
1; Kepulauan Mentawai;1;;;;;;;;;;;;;;;2019;102;Land_Slide
5; Tanah Datar;1;1;;;;4;1;;;;;;;;;2019;102;Land_Slide
6; Padang Pariaman;2;;;;;;1;;;;;;;;;2019;102;Land_Slide
7; Agam;3;;;;10;;4;;;;;;;;;2019;102;Land_Slide
8; Lima Puluh Kota;1;;;3;;;;;;;;;;;;2019;102;Land_Slide
9; Pasaman;1;;;;952;;;;;;;;1;;;2019;102;Land_Slide
12; Pasaman Barat;1;;;;;;1;;;;;;;;;2019;102;Land_Slide
73; Kota Sawah Lunto;2;;;;354;;6;;;;;;;;;2019;102;Land_Slide
75; Kota Bukittinggi;1;;1;;5;;;;;;;;;;;2019;102;Land_Slide
1; Kepulauan Mentawai;1;;;;;;;;;;;;;;;2019;104;Abration
2; Pesisir Selatan;1;;;;125;64;13;;;;;1;;;;2019;104;Abration
6; Padang Pariaman;1;;;;;;1;;;;;;;;14;2019;104;Abration
3; Solok;2;;;;;;3;;;;;;;;;2019;105;Tornado
4; Sijunjung;2;;;;;;3;;;;;;;;;2019;105;Tornado
5; Tanah Datar;6;;;7;7;10;7;;;;;;;;;2019;105;Tornado
6; Padang Pariaman;18;;;1;28;;34;1;;;;;;;1;2019;105;Tornado
7; Agam;3;;;3;10;;4;;;;;1;;;4;2019;105;Tornado
8; Lima Puluh Kota;3;;;;;;27;;;;;;;;;2019;105;Tornado
9; Pasaman;1;;;;3;;1;;;;;;;;;2019;105;Tornado
10; Solok Selatan;4;;;;842;70;196;1;;1;;;;;;2019;105;Tornado
71; Kota Padang;6;;;;5;;18;;;;;;;;;2019;105;Tornado
73; Kota Sawah Lunto;2;;;;;;4;;;;;;;;;2019;105;Tornado
71; Kota Padang;2;;;;4615;;;;;;;;;;;2019;106;Drought
2; Pesisir Selatan;1;;;;;;;;;;;;;;;2019;107;Forest Fire
5; Tanah Datar;1;;;;;;;;;;;;;;;2019;107;Forest Fire
6; Padang Pariaman;1;;;;;;;;;;;;;;;2019;107;Forest Fire
7; Agam;1;;;;;;;;;;;;;;;2019;107;Forest Fire
11; Dharmasraya;2;;;;;;;;;;;;;;;2019;107;Forest Fire
1; Kepulauan Mentawai;1;;;;;;11;;1;1;;;;;;2019;108;Earthquake
6; Padang Pariaman;1;;;;43;;15;;;1;;;;;;2019;108;Earthquake
10; Solok Selatan;1;;;62;1452;;480;8;3;3;;1;;;1;2019;108;Earthquake
1; Kepulauan Mentawai;5;;;;11260;110;;1;1;;;2;;;;2020;101;Flood
2; Pesisir Selatan;1;;;;400;;42;;;;;;;;;2020;101;Flood
3; Solok;5;1;;;460;70;;;;;;;4;;;2020;101;Flood
4; Sijunjung;5;;;;;;;;;;;;4;;;2020;101;Flood
5; Tanah Datar;1;;;;;50;6;;;;;1;2;;;2020;101;Flood
6; Padang Pariaman;8;;;1;2120;301;6;3;;8;;;4;;;2020;101;Flood
7; Agam;11;;;;192;52;11;4;;3;;;6;;6;2020;101;Flood
8; Lima Puluh Kota;9;;;;1491;1380;5;2;;;;1;2;;;2020;101;Flood
9; Pasaman;2;2;1;2;;;1;;;;;;3;;;2020;101;Flood
10; Solok Selatan;8;;;;884;10;41;;;;;;1;;;2020;101;Flood
11; Dharmasraya;1;;;;;2308;;;;;;;2;;;2020;101;Flood
12; Pasaman Barat;10;;;;2455;800;3;4;;;;;4;;;2020;101;Flood
71; Kota Padang;1;;;;300;;;;;;;;;;;2020;101;Flood
72; Kota Solok;2;;;;2590;;;;;;;;;;;2020;101;Flood
73; Kota Sawah Lunto;1;;;;;;3;;;;;;;;;2020;101;Flood
75; Kota Bukittinggi;3;;;;230;40;;;;;;;;;;2020;101;Flood
76; Kota Payakumbuh;2;;;;;;7;;;;;;;;;2020;101;Flood
1; Kepulauan Mentawai;1;;;;;;1;;;;;;;;;2020;102;Land_Slide
2; Pesisir Selatan;2;1;;;;;8;;;;;;;;;2020;102;Land_Slide
3; Solok;10;4;;1;91;3;8;;;;;;1;;;2020;102;Land_Slide
4; Sijunjung;4;;;;;;13;;1;;;;;;;2020;102;Land_Slide
5; Tanah Datar;4;2;;;;;10;;;1;;;;;;2020;102;Land_Slide
6; Padang Pariaman;8;;;;;;11;;;;;;1;;;2020;102;Land_Slide
7; Agam;12;;;;49;46;19;;;2;;;2;;;2020;102;Land_Slide
8; Lima Puluh Kota;5;;;1;4;;5;1;;;;;;;;2020;102;Land_Slide
10; Solok Selatan;2;9;;;16;;;;;;;;;;;2020;102;Land_Slide
73; Kota Sawah Lunto;7;0;0;0;0;0;9;0;0;0;0;0;0;0;0;2020;102;Land_Slide
1; Kepulauan Mentawai;1;;;;;;;;;;;;;;;2020;103;Flood and Land Slide
2; Pesisir Selatan;2;;;;10185;;1;;;;;;;;;2020;103;Flood and Land Slide
4; Sijunjung;1;;;;150;;;;;;;;;;;2020;103;Flood and Land Slide
6; Padang Pariaman;1;;;;;;2;1;;;;;2;;;2020;103;Flood and Land Slide
7; Agam;1;;;;30;;6;;;;;;;;;2020;103;Flood and Land Slide
8; Lima Puluh Kota;1;;;;552;;;;;;;;;;;2020;103;Flood and Land Slide
11; Dharmasraya;1;;;;1415;;;;;;;;;;;2020;103;Flood and Land Slide
71; Kota Padang;2;;;;;;1;;;;;;;;;2020;103;Flood and Land Slide
72; Kota Solok;1;;;;24;300;;;;;;;;;;2020;103;Flood and Land Slide
73; Kota Sawah Lunto;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020;103;Flood and Land Slide
1; Kepulauan Mentawai;1;;;;;;32;;;;;;;;;2020;104;Abration
6; Padang Pariaman;2;;;;;;24;;;;;;;;1;2020;104;Abration
12; Pasaman Barat;1;;;;;;;;;;;;;;;2020;104;Abration
1; Kepulauan Mentawai;1;;;;;;32;;;;;;;;;2020;105;Tornado
6; Padang Pariaman;51;;;2;105;;101;5;1;1;;;;;1;2020;105;Tornado
7; Agam;15;;;;49;;29;5;;1;;;;;1;2020;105;Tornado
8; Lima Puluh Kota;3;;;;15;;7;;;;;;;;;2020;105;Tornado
9; Pasaman;2;;;;;;2;;;;;;;;;2020;105;Tornado
10; Solok Selatan;1;;;;;;1;;;;;;;;;2020;105;Tornado
12; Pasaman Barat;8;;;;;;20;;;;;;;;;2020;105;Tornado
71; Kota Padang;4;;;;25;;18;;;;;;;;13;2020;105;Tornado
73; Kota Sawah Lunto;4;;;;;;6;;;;;1;;;;2020;105;Tornado
